manifest     zephyr                       HEAD                                     N/A
hal_st       modules/hal/st               b77157f6bc4395e398d90ab02a7d2cbc01ab2ce7 https://github.com/zephyrproject-rtos/hal_st
hal_stm32    modules/hal/stm32            f1317150eac951fdd8259337a47cbbc4c2e6d335 https://github.com/zephyrproject-rtos/hal_stm32
hal_telink   modules/hal/telink           4226c7fc17d5a34e557d026d428fc766191a0800 https://github.com/zephyrproject-rtos/hal_telink
simplelink-hal_ti modules/hal/ti               5d9e22de88114dd8285b753febbda98e7453ea57 https://github.com/TexasInstruments/simplelink-hal_ti
hal_wurthelektronik modules/hal/wurthelektronik  e5bcb2eac1bb9639ce13b4dafc78eb254e014342 https://github.com/zephyrproject-rtos/hal_wurthelektronik
hal_xtensa   modules/hal/xtensa           a2d658525b16c57bea8dd565f5bd5167e4b9f1ee https://github.com/zephyrproject-rtos/hal_xtensa
hostap       modules/lib/hostap           a90df86d7c596a5367ff70c2b50c7f599e6636f3 https://github.com/zephyrproject-rtos/hostap
libmetal     modules/hal/libmetal         a6851ba6dba8c9e87d00c42f171a822f7a29639b https://github.com/zephyrproject-rtos/libmetal
liblc3       modules/lib/liblc3           1a5938ebaca4f13fe79ce074f5dee079783aa29f https://github.com/zephyrproject-rtos/liblc3
littlefs     modules/fs/littlefs          408c16a909dd6cf128874a76f21c793798c9e423 https://github.com/zephyrproject-rtos/littlefs
loramac-node modules/lib/loramac-node     fb00b383072518c918e2258b0916c996f2d4eebe https://github.com/zephyrproject-rtos/loramac-node
lvgl         modules/lib/gui/lvgl         2b498e6f36d6b82ae1da12c8b7742e318624ecf5 https://github.com/zephyrproject-rtos/lvgl
mbedtls      modules/crypto/mbedtls       2f24831ee13d399ce019c4632b0bcd440a713f7c https://github.com/zephyrproject-rtos/mbedtls
mcuboot      bootloader/mcuboot           fb2cf0ec3da3687b93f28e556ab682bdd4b85223 https://github.com/zephyrproject-rtos/mcuboot
mipi-sys-t   modules/debug/mipi-sys-t     71ace1f5caa03e56c8740a09863e685efb4b2360 https://github.com/zephyrproject-rtos/mipi-sys-t
net-tools    tools/net-tools              7c7a856814d7f27509c8511fef14cec21f7d0c30 https://github.com/zephyrproject-rtos/net-tools
nrf_hw_models modules/bsim_hw_models/nrf_hw_models 6c389b9b5fa0a079cd4502e69d375da4c0c289b7 https://github.com/zephyrproject-rtos/nrf_hw_models
open-amp     modules/lib/open-amp         76d2168bcdfcd23a9a7dce8c21f2083b90a1e60a https://github.com/zephyrproject-rtos/open-amp
openthread   modules/lib/openthread       3873c6fcd5a8a9dd01b71e8efe32ef5dc7923bb1 https://github.com/zephyrproject-rtos/openthread
percepio     modules/debug/percepio       a49e5f3947faad0dd654eddd5a750127fb81e50d https://github.com/zephyrproject-rtos/percepio
picolibc     modules/lib/picolibc         764ef4e401a8f4c6a86ab723533841f072885a5b https://github.com/zephyrproject-rtos/picolibc
segger       modules/debug/segger         b011c45b585e097d95d9cf93edf4f2e01588d3cd https://github.com/zephyrproject-rtos/segger
tinycrypt    modules/crypto/tinycrypt     1012a3ebee18c15ede5efc8332ee2fc37817670f https://github.com/zephyrproject-rtos/tinycrypt
trusted-firmware-m modules/tee/tf-m/trusted-firmware-m 069455be098383bf96eab73e3ff8e0c66c60fa5a https://github.com/zephyrproject-rtos/trusted-firmware-m
trusted-firmware-a modules/tee/tf-a/trusted-firmware-a 713ffbf96c5bcbdeab757423f10f73eb304eff07 https://github.com/zephyrproject-rtos/trusted-firmware-a
uoscore-uedhoc modules/lib/uoscore-uedhoc   84ef879a46d7bfd9a423fbfb502b04289861f9ea https://github.com/zephyrproject-rtos/uoscore-uedhoc
zcbor        modules/lib/zcbor            75d088037eb237b18e7ec1f47c9ce494b9b95aab https://github.com/zephyrproject-rtos/zcbor
